T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-41.0000000000,0.0003368548,0.0003545840,0.0003723132,0.0003598264,0.0003468051
-40.9000000000,0.0003367100,0.0003544316,0.0003721532,0.0003596754,0.0003466536
-40.8000000000,0.0003365652,0.0003542792,0.0003719932,0.0003595243,0.0003465020
-40.7000000000,0.0003364205,0.0003541268,0.0003718331,0.0003593733,0.0003463504
-40.6000000000,0.0003362757,0.0003539744,0.0003716731,0.0003592223,0.0003461988
-40.5000000000,0.0003361309,0.0003538220,0.0003715131,0.0003590713,0.0003460472
-40.4000000000,0.0003359861,0.0003536696,0.0003713531,0.0003589202,0.0003458956
-40.3000000000,0.0003358413,0.0003535172,0.0003711931,0.0003587692,0.0003457441
-40.2000000000,0.0003356966,0.0003533648,0.0003710330,0.0003586182,0.0003455925
-40.1000000000,0.0003355518,0.0003532124,0.0003708730,0.0003584672,0.0003454409
-40.0000000000,0.0003354070,0.0003530600,0.0003707130,0.0003583161,0.0003452893
-39.9000000000,0.0003352622,0.0003529076,0.0003705530,0.0003581651,0.0003451377
-39.8000000000,0.0003351174,0.0003527552,0.0003703930,0.0003580141,0.0003449861
-39.7000000000,0.0003349727,0.0003526028,0.0003702329,0.0003578630,0.0003448345
-39.6000000000,0.0003348279,0.0003524504,0.0003700729,0.0003577120,0.0003446829
-39.5000000000,0.0003346831,0.0003522980,0.0003699129,0.0003575609,0.0003445313
-39.4000000000,0.0003345383,0.0003521456,0.0003697529,0.0003574099,0.0003443797
-39.3000000000,0.0003343935,0.0003519932,0.0003695929,0.0003572589,0.0003442281
-39.2000000000,0.0003342488,0.0003518408,0.0003694328,0.0003571078,0.0003440765
-39.1000000000,0.0003341040,0.0003516884,0.0003692728,0.0003569568,0.0003439248
-39.0000000000,0.0003339592,0.0003515360,0.0003691128,0.0003568057,0.0003437732
-38.9000000000,0.0003338144,0.0003513836,0.0003689528,0.0003566547,0.0003436216
-38.8000000000,0.0003336696,0.0003512312,0.0003687928,0.0003565036,0.0003434700
-38.7000000000,0.0003335249,0.0003510788,0.0003686327,0.0003563526,0.0003433184
-38.6000000000,0.0003333801,0.0003509264,0.0003684727,0.0003562015,0.0003431668
-38.5000000000,0.0003332353,0.0003507740,0.0003683127,0.0003560505,0.0003430151
-38.4000000000,0.0003330905,0.0003506216,0.0003681527,0.0003558994,0.0003428635
-38.3000000000,0.0003329457,0.0003504692,0.0003679927,0.0003557484,0.0003427119
-38.2000000000,0.0003328010,0.0003503168,0.0003678326,0.0003555973,0.0003425602
-38.1000000000,0.0003326562,0.0003501644,0.0003676726,0.0003554462,0.0003424086
-38.0000000000,0.0003325114,0.0003500120,0.0003675126,0.0003552952,0.0003422570
-37.9000000000,0.0003323666,0.0003498596,0.0003673526,0.0003551441,0.0003421053
-37.8000000000,0.0003322218,0.0003497072,0.0003671926,0.0003549931,0.0003419537
-37.7000000000,0.0003320771,0.0003495548,0.0003670325,0.0003548420,0.0003418021
-37.6000000000,0.0003319323,0.0003494024,0.0003668725,0.0003546909,0.0003416504
-37.5000000000,0.0003317875,0.0003492500,0.0003667125,0.0003546231,0.0003415823
-37.4000000000,0.0003316427,0.0003490976,0.0003665525,0.0003544719,0.0003414305
-37.3000000000,0.0003314979,0.0003489452,0.0003663925,0.0003543206,0.0003412787
-37.2000000000,0.0003313532,0.0003487928,0.0003662324,0.0003541694,0.0003411269
-37.1000000000,0.0003312084,0.0003486404,0.0003660724,0.0003540182,0.0003409751
-37.0000000000,0.0003310636,0.0003484880,0.0003659124,0.0003538670,0.0003408234
-36.9000000000,0.0003309188,0.0003483356,0.0003657524,0.0003537158,0.0003406716
-36.8000000000,0.0003307740,0.0003481832,0.0003655924,0.0003535646,0.0003405198
-36.7000000000,0.0003306293,0.0003480308,0.0003654323,0.0003534134,0.0003403680
-36.6000000000,0.0003304845,0.0003478784,0.0003652723,0.0003532622,0.0003402162
